HomeTeam,AwayTeam,FTR,HST,AST,HAS,HDS,AAS,ADS,Result
West Ham,Everton,A,3.0,5.0,1.59,2.004,1.902,1.753,-1
Man United,Arsenal,D,4.0,3.0,2.76,1.323,2.841,1.624,0
Swansea,Man City,A,9.0,11.0,0.661,0.827,2.758,1.601,-1
West Brom,Chelsea,H,5.0,3.0,1.077,1.741,2.778,1.332,1
Arsenal,Sunderland,D,8.0,3.0,2.76,1.498,0.968,1.472,0
Arsenal,West Brom,H,13.0,5.0,2.76,1.498,1.041,1.498,1
Aston Villa,Burnley,A,5.0,3.0,1.376,1.717,0.598,0.856,-1
Chelsea,Sunderland,H,8.0,9.0,2.742,1.333,0.968,1.472,1
Crystal Palace,Swansea,H,7.0,2.0,0.675,1.056,0.618,0.786,1
Everton,Tottenham,A,1.0,3.0,2.096,1.858,2.422,1.812,-1
Hull,Man United,D,6.0,1.0,0.395,0.705,2.802,1.362,0
Leicester,QPR,H,7.0,2.0,0.852,0.876,0.268,0.45,1
Man City,Southampton,H,6.0,4.0,2.786,1.508,1.124,1.251,1
Newcastle,West Ham,H,4.0,1.0,1.69,1.917,1.576,1.808,1
Stoke,Liverpool,H,9.0,4.0,0.915,1.036,2.709,1.561,1
,,,,,,,,,0
Arsenal,Aston Villa,A,4.0,4.0,2.76,1.498,1.649,1.827,-1
Liverpool,Stoke,H,11.0,4.0,2.642,1.352,0.73,1.151,1
Norwich,Everton,D,2.0,6.0,0.524,0.812,1.902,1.753,0
Sunderland,Fulham,A,3.0,1.0,0.908,1.479,1.109,1.609,-1
Swansea,Man United,A,6.0,7.0,0.661,0.827,2.802,1.362,-1
West Brom,Southampton,A,1.0,2.0,1.077,1.741,1.124,1.251,-1
West Ham,Cardiff,H,4.0,1.0,1.59,2.004,0.122,0.258,1
Chelsea,Hull,H,5.0,2.0,2.742,1.333,0.36,0.657,1
Crystal Palace,Tottenham,A,3.0,2.0,0.675,1.056,2.422,1.812,-1
Man City,Newcastle,H,11.0,1.0,2.786,1.508,1.523,1.959,1
Chelsea,Aston Villa,H,3.0,3.0,2.742,1.333,1.649,1.827,1
Aston Villa,Liverpool,A,3.0,1.0,1.376,1.717,2.709,1.561,-1
Everton,West Brom,D,8.0,2.0,2.096,1.858,1.041,1.498,0
Fulham,Arsenal,A,7.0,7.0,1.28,1.649,2.841,1.624,-1
Hull,Norwich,H,1.0,4.0,0.395,0.705,0.394,0.841,1
Newcastle,West Ham,D,0.0,1.0,1.69,1.917,1.576,1.808,0
Southampton,Sunderland,D,6.0,3.0,1.173,1.333,0.968,1.472,0
Stoke,Crystal Palace,H,5.0,5.0,0.915,1.036,0.924,1.026,1
Cardiff,Man City,H,6.0,5.0,0.151,0.355,2.758,1.601,1
Tottenham,Swansea,H,5.0,5.0,2.402,1.766,0.618,0.786,1
Man United,Chelsea,D,3.0,4.0,2.76,1.323,2.778,1.332,0
Cardiff,Everton,D,1.0,3.0,0.151,0.355,1.902,1.753,0
Crystal Palace,Sunderland,H,6.0,2.0,0.675,1.056,0.968,1.472,1
Man City,Hull,H,6.0,2.0,2.786,1.508,0.36,0.657,1
Newcastle,Fulham,H,9.0,2.0,1.69,1.917,1.109,1.609,1
Norwich,Southampton,H,4.0,2.0,0.524,0.812,1.124,1.251,1
